,0,1,2,3
tt1985949,"['Animation', 'Adventure', 'Comedy']",97.0,2016-05-11,7.4
tt0475290,"['Comedy', 'Drama', 'Mystery']",106.0,2016-02-05,7.4
tt2404233,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127.0,2016-02-25,7.4
tt4501244,['Comedy'],111.0,2016-12-22,7.4
tt5700672,"['Action', 'Horror', 'Thriller']",118.0,2016-07-20,7.4
tt2671706,['Drama'],139.0,2016-12-16,7.4
tt4016934,"['Thriller', 'Drama', 'Romance']",145.0,2016-06-01,7.4
tt3289956,"['Horror', 'Mystery']",86.0,2016-12-21,7.4
tt3381008,"['Action', 'Comedy']",83.0,2016-02-24,7.4
tt3470600,"['Animation', 'Comedy', 'Drama', 'Family', 'Music']",108.0,2016-11-23,7.4
tt3393786,"['Action', 'Adventure', 'Crime']",118.0,2016-10-19,7.4
tt4651520,['Comedy'],100.0,2016-07-28,7.4
tt1860213,['Comedy'],102.0,2016-01-21,7.4
tt3774114,"['Drama', 'History', 'Crime', 'Thriller']",134.0,2016-09-15,7.4
tt4034354,"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Adventure']",97.0,2016-06-24,7.4
tt3416532,"['Drama', 'Fantasy']",108.0,2016-10-07,7.4
tt4052882,"['Horror', 'Drama', 'Thriller']",86.0,2016-06-24,7.4
tt4094724,"['Action', 'Horror', 'Thriller']",105.0,2016-06-29,7.4
tt0490215,"['Drama', 'History']",161.0,2016-12-22,7.4
tt5311514,"['Romance', 'Animation', 'Drama']",106.0,2016-08-26,7.4
tt1878870,"['Comedy', 'Drama']",104.0,2016-11-18,7.4
tt4731136,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']",146.0,2017-02-15,7.4
tt2488496,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",136.0,2015-12-15,7.4
tt2381249,"['Action', 'Adventure', 'Thriller']",131.0,2015-07-23,7.4
tt1502712,"['Action', 'Adventure', 'Science Fiction']",100.0,2015-08-05,7.4
tt3569230,"['Crime', 'Thriller']",131.0,2015-09-09,7.4
tt4046784,"['Action', 'Science Fiction', 'Thriller']",132.0,2015-09-09,7.4
tt3659388,"['Drama', 'Adventure', 'Science Fiction']",141.0,2015-09-30,7.4
tt1638355,"['Comedy', 'Action', 'Adventure']",116.0,2015-08-13,7.4
tt4178092,"['Thriller', 'Mystery', 'Drama']",108.0,2015-07-30,7.4
tt3464902,"['Thriller', 'Comedy', 'Drama', 'Romance', 'Science Fiction']",118.0,2015-07-10,7.4
tt1964418,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",130.0,2015-05-19,7.4
tt0810819,['Drama'],120.0,2015-11-27,7.4
tt0478970,"['Science Fiction', 'Action', 'Adventure']",117.0,2015-07-14,7.4
